addr	size	name	string_hints
00040ee0	192	FUN_00040ee0	s_Status_Error:_0x%08X_000797b5,s_Timeout_waiting_card_ready_000797cb
00040fac	48	FUN_00040fac	
00040fdc	68	FUN_00040fdc	s_MMC_Device_%d_not_found_000797e7
00041028	400	FUN_00041028	s_Caution!_Your_devices_Erase_grou_00079800,s_mmc_erase_failed_0007985d
000411c0	356	FUN_000411c0	s_MMC:_block_number_0x%lx_exceeds_m_0007986f,s_mmc_write_failed_0007989b,s_mmc_fail_to_send_stop_cmd_000798ad
00041330	184	FUN_00041330	s_mmc_fail_to_send_stop_cmd_000798ad
000413ec	156	FUN_000413ec	s_MMC:_block_number_0x%lx_exceeds_m_0007986f
0004148c	76	FUN_0004148c	
000414d8	312	FUN_000414d8	
00041618	312	FUN_00041618	
00041754	76	FUN_00041754	
000417a0	84	FUN_000417a0	
00041804	60	FUN_00041804	
00041840	44	FUN_00041840	
0004186c	100	FUN_0004186c	
000418d0	456	FUN_000418d0	
00041aa4	8	FUN_00041aa4	
00041aac	32	FUN_00041aac	
00041ad4	1520	FUN_00041ad4	s_Man_%06x_Snr_%08x_000798c8,s_%c%c%c%c%c_000798da,s_%d.%d_000798e5
00042110	104	FUN_00042110	
00042204	216	FUN_00042204	s_MMC:_no_card_present_000798eb
000422e0	44	FUN_000422e0	
00042314	88	FUN_00042314	s_%s:_%d_00079901,s__0007d8d9+0x17
0004237c	12	FUN_0004237c	
000423d8	96	FUN_000423d8	
00042438	240	FUN_00042438	s_TIMEOUT_error!!_0007990c
00042530	276	FUN_00042530	s_Didn't_get_source_clock_value.._0007991d,s_TIMEOUT_error!!_0007990c
00042654	744	FUN_00042654	s_Timeout_on_data_busy_0007993e,s_TIMEOUT_error!!_0007990c
0004294c	52	FUN_0004294c	
00042980	288	FUN_00042980	s_%s_0007739f+0xb,s_mmc_malloc_fail!_00079954
00042b60	100	FUN_00042b60	s_U-Boot_BUG_at_%s:%d!_0007997f,s_mtdcore.c_00079995
00042bd0	76	FUN_00042bd0	s_Removing_MTD_device_#%d_(%s)_wit_0007999f
00042c24	112	FUN_00042c24	
00042c98	104	FUN_00042c98	
00042d04	36	FUN_00042d04	s_U-Boot_BUG_at_%s:%d!_0007997f,s_mtdcore.c_00079995
00042edc	156	FUN_00042edc	
00042f78	72	FUN_00042f78	
00042fc0	72	FUN_00042fc0	
00043014	60	FUN_00043014	
000430b0	160	FUN_000430b0	
00043150	184	FUN_00043150	
00043208	100	FUN_00043208	
00043270	136	FUN_00043270	
000432fc	1548	FUN_000432fc	s_Creating_%d_MTD_partitions_on_"%_000799cf,s_memory_allocation_error_while_cr_000799f4,s_Moving_partition_%d:_0x%012llx_-_00079a30,s_0x%012llx-0x%012llx_:_"%s"_00079a5d
00043a64	156	FUN_00043a64	
00043b00	756	FUN_00043b00	s_Attempt_to_erase_non_page_aligne_00079bd3,s_Skipping_bad_block_at_0x%08llx_00079bfb,s_%s:_MTD_get_bad_block_failed:_%d_00079c47,s_%s:_MTD_Erase_failure:_%d_00079c6a
00043e14	844	FUN_00043e14	PTR_s_Attempt_to_write_incomplete_page_00044160,s_Attempt_to_write_incomplete_page_00079ceb,PTR_s_TOSHIBA_oob_%d,_writesize_%d_00044164,s_TOSHIBA_oob_%d,_writesize_%d_00079d1b
00044178	476	FUN_00044178	PTR_s_Attempt_to_read_non_page_aligned_00044354,s_Attempt_to_read_non_page_aligned_00079dc8,PTR_s_Attempt_to_read_outside_the_flas_00044358,s_Attempt_to_read_outside_the_flas_00079def
00044364	200	FUN_00044364	
0004442c	92	FUN_0004442c	
00044488	572	FUN_00044488	s_nand_bbt:_Error_reading_bad_bloc_0007a333,s_nand_bbt:_ECC_error_while_readin_0007a35c,s_nand_read_bbt:_Reserved_block_at_0007a38f
000446d0	244	FUN_000446d0	
000447c4	316	FUN_000447c4	s_BUG:_failure_at_%s:%d/%s()!_00079b00,s_nand_bbt.c_0007a3bb,s_verify_bbt_descr_00072a44,s_.c_0007a3bb+8
00044910	320	FUN_00044910	
00044a50	760	FUN_00044a50	s_create_bbt():_chipnr_(%d)_>_avai_0007a3c6,s_BUG:_failure_at_%s:%d/%s()!_00079b00,s_nand_bbt.c_0007a3bb,s_create_bbt_00072a55
00044d5c	1632	FUN_00044d5c	s_Bad_block_table_written_to_0x%01_0007a4a4,s_No_space_left_to_write_bad_block_0007a3f8,s_nand_bbt:_Error_reading_block_fo_0007a420,s_nand_bbt:_ECC_error_while_readin_0007a45f
000453f0	488	FUN_000453f0	s_Bad_block_table_not_found_for_ch_0007a50c
000455dc	320	FUN_000455dc	s_nand_update_bbt:_Out_of_memory_0007a533
00045720	392	FUN_00045720	
